text,answer
Q: Did u watch bieber on oprah?<br>A: Well sortaa! I just got 2 wtch thee Charice part! Shes awesome <3 hbu?!,No
Q: Do you believe in life after death?<br>A: Yes of course i do... Its called Eternity with God in heaven!<3,No
Q: Do you believe in luck?<br>A: Yes  bhut I think luck is blessing from God actually! in my opinioN!,No
Q: Do you believe there&#039;s intelligent life on other planets?<br>A: If God created them then hellz yes!,No
Q: Do you consider yourself a good dancer?<br>A: Hahaha Bitch i bring it lmao! Kinda i think lmao! I hve some black in me so yes haha,No
Q: do you have a bf??<br>A: Nope ;/ Bhut Not Having a BF doesnt mean The WORLD ends;] I guess im waiting 4 the 1  ya kno? Hbu mamas?!,No
Q: Do you have any favorite YouTube star?<br>A: I have 2 actually! Justin Bieber (ofcourse) &amp;&amp; Scipio Mondai!,No
Q: do you have any memories you&#039;d like to forget?<br>A: Actually i do!!! Just my whole experience with this fake a$$ friend!!</3,No
Q: Do you have any piercings?<br>A: Yuppers! Nose and Cartilage piercings(;,No
Q: Do you have any scars on your body?  If so  how&#039;d you get them?<br>A: Hahaha. Strange!:S,No
Q: do you like atlanta  GA ?<br>A: yes i love ATL!! great place 2 live  wish i lived there! ;D,No
Q: do you think that a size 10 is fat? i&#039;m trying to be a size 5 by the end of the year.<br>A: Omg NO WAY!!! 10 is actually small!!! Don't change thee way you look 4 ANYONE!!! bhut yourslf. Kay?!,No
Q: do you think you&#039;re a good friend?<br>A: Fuck yes i think i am! haha,No
Q: do you watch american idol? if so  who are you voting for this season?<br>A: Awww man you just reminded me! I wtch it sometimes bhut i love Big Mike! Pplz are really wrong bout letting Katie go!! Argh . .,No
Q: Do yuh have any stalkers?<br>A: Hell yes! Lots of them and thats including yuh!<3,No
Q: don&#039;t listen to the haters  you are pretty!<br>A: :D thank you gurl/boy ? I really appreciate it!<33,No
Q: Favorite store?<br>A: ATM Rue 21;D Or Forever21 <3,No
Q: Fuck Justin bieber. He&#039;s a fucking fag<br>A: UM excuse yuh? HE IS NOT!! Ur a fuckin idiot! Kay? good,Yes
Q: growl;]<br>A: Meowl?;D If thts a word haha<3,No
Q: guesss who ;)<br>A: Idk hoe get cha own cup of blackberry with a hint of lemon ice tea. Dayumm! hahah JK Brooke?,No
Q: -Haa you guessedd righhtttt:Dr its Maryyyy(: ahhh ilovee this picture!!!!!!!!!! mayb becuase youhr in it babe<3<br>A: Off courrseeee dudee hahahahaha!!!! Awhhh lol! i think i love it 2 chuz im in it lol!!!! jk! i love yuh!!,No
Q: haaa its all qud  sorry abouht the &quot;hoe&quot; thinq  iwas mad lol<br>A: lmfao! haha! Nahh its my badd;),No
Q: haha ;)so.. have u ever been to france?<br>A: Pfftt!! nahhh i hve never been outta this country!! Argh! hve yuh?! haha,No
Q: haha check inside ur closet u mind find out who it is(;<br>A: Lmao!! kk lemme get my ass off this toliet seat then ill check!! Mwahah!! jk,No
Q: HAHA NOPE IM NOT TAQUISHA EITHER....i TALK TO YOU ALOT ON TWITTER;) <3<br>A: OMG!!!!! tell me!!!! ughh grrr rawrr bianca? LMAO! idkk TELL ME!,No
Q: HAHAH GUESS WHO!? <3<br>A: Mary?! lol hahahaha,No
Q: hahah okey dokey!..sweet thang(;<br>A: Mwahaha!!! Sweet thang! i love it!!,No
Q: Hahah. Funny how u defend that beiber kid.<br>A: &amp; its also funny how u stalked my whole twitter! Nice goin! BITCH!,Yes
Q: HAHAHA NOPE! ...<br>A: Uhhhhh!!!! OMG! Taquisha? LOL!,No
Q: Have u ever licked thee floor?<br>A: Hahaha.. Yup!(: Its my job,No
Q: have u seen JUSTIN BIEBER in person? (:<br>A: Nope:[ I wish  bhut hey i might someday rite haha..Hbu?!,No
Q: Have you broken any bones?  If so  how?<br>A: Haha nahh ive just fractured some thumbs bhut itz all good lol,No
Q: have you ever been on itellyouthat.com? go there and tell something to the world :D<br>A: Hahah OHKAY?!,No
Q: have you ever had your heart broken?<br>A: Yup yup!!:P,No
Q: hehe yup  it&#039;s awesome  but the pronunciation is incredibly haaard :D<br>A: haha!! it is haha lol!! man i hvnt even gotten 2 dat part yet! FML hah,No
Q: Hello bitch! How&#039;s ur day going? Good I hope :) it&#039;s beautiful and sunny!<br>A: Ohh heyy bitchh!!! its goin good..:D thx 4 askin,No
Q: Hello. My friend is also named April.<br>A: Nicee!,No
Q: Hello?<br>A: Hey  hows yah momma?!,No
Q: -Hellz yeahh(: of course i&#039;m qoinqq i wannah b with you quy&#039;s  like duhh<3<br>A: ahahaha!!!(: It wuzz funn!(: lmao<3,No
Q: Hey my name is April too! Haha. People named April are always cool. LOL.<br>A: Hahaha!!! Ohh cool wait are yuh thee april on twitter?! april2? haha yay! We beasts yo! haa,No
Q: hey you&#039;re an amazing nice and sweet girl..pretty too!<br>A: Awwhhh!!!Thank yuh Jacob ur really nice!!! Might be my new bestie <33 Thank YUH SO MUCH!,No
Q: Hey. Why you such a bitch?<br>A: Why thank yuh!,Yes
Q: Heyyy Abrilll(:!!! iloveyhuuu<3 muchooo!!<br>A: Heyy Marribbbiii!! lmao! iloveyuhhh muchooo moeee!!!;) are yuh goin tmrw?!,No
Q: heyyyyyy!!! how u doin!!!!!<br>A: Im doing good thankyuh!!!Heyyy hbu?!,No
Q: heyyyyyyyy!!!!wats up!?!?(*)-)<br>A: Heyy ghurrr!!! Wuzz upp!! haha nuttin much just busyy!! hbu ma?,No
Q: Hi April!!!<br>A: Heyy :D,No
Q: how many languages do u speak?<br>A: Umm.. i think 2 bhut english is my first! im learnin french! ;d hbu?!,No
Q: how old are u ? And how do you know michael?<br>A: Who the hell are yuh!!! And who tha fuck is michael!?,Yes
Q: How would you describe your personality?<br>A: Hmmm...personal? root word.. lol umm probss... bubbly  nice  honest(sumtyms),No
Q: How would you describe yourself in 3 words?<br>A: Myself Bubbly Funny?,No
Q: i love your hair.<br>A: iLoveYou! Thanks alot! Bhut its alot 2 keep up wit! Wanna trade haha!,No
Q: i love youu chica!<33<br>A: NO no no! I Love youuu moreee<333 ;D haha!!,No
Q: i love youuuuuuu (:<br>A: iFUCKINLoveyou!!!<33 xox ha!,No
Q: i speak english frensh and a little arabic cuz i&#039;ve been to egypt a lotta times :D<br>A: OMG! really?! cool thats so awesome! yeah i wanna learn more languages bhut french is already enuff 2 deal wit! ha,No
Q: I think ur not pretty. Sorry.<br>A: Oh thats wht i think too! dnt be sorry hahaha! Silly goose,No
Q: i&#039;m bored can you tell me something funny? lool<br>A: Hahah!! ohhkayy?!?! lol Wht do you call a deer with no eyes? I have no ideer! haha Classic  umm i suck at this haha,No
Q: IF U LIVE FOREVER WAT DO U LIVE FOR?????<br>A: IDKKK!!!GOD?! Not understndin this ? srry its like 3am hah,No
Q: If you could ask Barack Obama one question what would it be?<br>A: Oh snap!! I would actually hug him first off ahah and say &quot;Nigga where my weed go?&quot; Hahaha jkjkjk i love him!! He is doin a great job!,No
Q: If you could ask George W. Bush one question what would it be?<br>A: Are you a lonely boy?,No
Q: If you could be a star athlete in any sport  which sport would you pick?<br>A: Basketball<3,No
Q: If you could be invited to one person&#039;s birthday party  whose would it be?<br>A: JUSTIN BIEBER's Bday parrtayy! haha,No
Q: If you could be on one TV show which one would it be?<br>A: Keeping up with the Kardashians! or Kendra! My FAV shows atm!:D,No
Q: If you could become any fictional character  who would you be?<br>A: Errmm...Harry potter? lol,No
Q: If you could change your name  what would you change it to?<br>A: Thats a hard 1 . . . *thinkin* Maybe Bustin Jieber? I think! haha,No
Q: If you could date any celebrity  who would it be?<br>A: Justin Bieber or Channing Tatum! haha yumm!,No
Q: If you could eat dinner with any person  dead or alive  who would it be and where would you go?<br>A: Michael Jacko and Subway! Doh!,No
Q: If you could eliminate one thing you do each day in the bathroom so you never had to do it again  what would it be?<br>A: Put my towels back on the fckn rack! lol im 2 lazy 2 do it bhut it looks trashy when i keep it on tha floor.,No
Q: If you could go back in time 10 years and tell your younger self something  what would it be?<br>A: Life is never going to be easy.,No
Q: If you could go on a road trip with any person  dead or alive  who would it be and where would you go?<br>A: Justin Bieber.Duh. &amp;&amp; Russia! ;],No
Q: If you could go on vacation for the next month with an unlimited budget  where would you go?<br>A: I would so travel thee world  Visit my overseas besties then shop everywhere!<3,No
Q: If you could have an endless supply of any food  what would you get?<br>A: Strawberry-Banana Smoothies from Jack in the Box ;D Yah dig?,No
Q: If you could have been the author of any book  what would it have been?<br>A: ALL thee twilight books chuz she got some good mula baby!,No
Q: If you could make one person fall in love with you who would it be?<br>A: My Orthodontist docotr hahahaha!!! Jkjk or am i lmao!,No
Q: If you could master one skill what would it be?<br>A: To never sin bhut will NEVER happen! See im already sinning  Never say never!,No
Q: If you could only listen to one song for the next month  which would it be?<br>A: Up-Justin Bieber,No
Q: If you could only read one magazine for the rest of your life  which would it be?<br>A: MMMag i love it!,No
Q: If you could rid the world of one thing  what would it be?<br>A: HOE-ISHNESS! lol um prob. stupid bitches and SIN! i just sinned!Opppzz,No
Q: If you could wake up as anyone tomorrow  who would it be?<br>A: MySelf!(:,No
Q: If you had to cook dinner for someone tonight  what would you make?<br>A: Umm... we would go to jack-in-the-box! haha,No
Q: If you had to give up one favorite food  what would the most difficult?<br>A: Chocolate;,No
Q: If you had to perform at the circus  what trick would you do?<br>A: Read between these three fingas! haha,No
Q: If you had your own talk show  who would your first three guests be?<br>A: Justin Bieber Demi lovato and Barack Obama babay!!:D,No
Q: If you won a $1 000 shopping spree for any store  which store would you pick?<br>A: Apple store!(; Need a MAC pro!,No
Q: If you won a million dollars what would you do with it?<br>A: Great question! Tithe Help people Shop!,No
Q: If your house was on fire and you could only grab three things  what would they be?<br>A: Laptop Dogs Family Shoes bed clothes coffee maker oven washer&amp;dryer refridgerator table&amp;chairs pics camera bath tub! HAHAhAHAHAHHAHA!!!!,No
Q: iLove your nose ring!<br>A: Awhh i love ur earrings!,No
Q: -ilovee youuu bestfranhdd(: haa guesss whooo....<br>A: ilovee maryyy rosseeee hickkksss!!!! LOL!,No
Q: ily!<br>A: ily2 boo!,No
Q: Im good!! Juz got bak from the srip in vegas!!! It was awesome!!! I luved it!! Hav u evah been to vegas?:)<br>A: Awhh! Yuh so lucky ghurr!!!I bet yuh had a BLAST! &amp; nahh ive never been bhut i would soo want to go!;D,No
Q: Is @TruAce single!?<br>A: YESSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS!!!!4 theee lasttt timeee!!! Ask him http://www.formspring.me/TRUACE,No
Q: justin bieber is my driving teacher oohh yess!..bahah we gonna be doing sumthing else instead of him teaching me how to drive(; lmao<br>A: HAHAHAHA TEACHIN HIM how to ur his stickshift Mwhahahahahaha! i llalala love you best frann!,No
Q: lol oo no!..guurrrl u must be crazy!!..b/c i love u muchoo!.<br>A: Uhhh!!! lmao!! U got me lmao! jkjk we can go on 4 like eva! Lezzzdoooittt I Love you more than yo own momma! AHHA!!,No
Q: Love you baby ;)<br>A: Love you More babe<3,No
Q: love youu sexy thang(;<br>A: Mwahaha!! Thank yuh meh sexy bitch!! who is this!? haha,No
Q: Mammaasss!! :D how are you? haha go to skype ;D<br>A: YOOOOOOOOOOOOOO!!!!!!!! Its Late; haha i have church tmrw bhut soon kay? srry:[,No
Q: Miley &amp; Bieber!!!<br>A: Miley's a HOOCHIE! BIEBER ALL THEE WAY GHURL!!or boy!<33,No
Q: NOPE IM NOT BIANCA EITHER:) heres a clue...i come from new zealand;) LOL<br>A: Chrisssy!!??? hahahahah Chantelle  Alesha Kailee? Tori?? LMFAO iddkkkkk,No
Q: NOPEEE!! my name starts with b :O<br>A: OMFG!!! nooo wayyyy!!! Ughhh BROOOKKKEEEEE OMFG!!! im soo srry lmao lots of pplz r frmh ZEW ZEALAND! lmao I fukkinnn luvv yuhhhh hahaha!,No
Q: OH VISIT ME IF YOU TRAVEL THE WORLD KTHXBYE. xx<br>A: Hahah Helllz yess! I will mamas!!<3 love u!,No
Q: Omg Justin Bieber!!!! :) haha.<br>A: OMG!! ahhhh!! Where he go? Damn it he just fell off my window sil! haha jk!,No
Q: Rate yurself?<br>A: I Love Justin Bieber! He's a 1000000000+ on a 1-10 scale HA!,No
Q: shut up ur prettty!..ll<br>A: Shut up your prettier! <33,No
Q: Sneakers or sandals?<br>A: Sandals 4suree ;D i wear them in thee winter 2! No lie! haha,No
Q: Sooooooo srry this is late!!!:) im juzz doin mothur freakin boring!!:) zzzzzz zzzz snore snore!!:) LMBO<br>A: Hhahahahaah ohh noo problem mamas! ahah me2 im soo exhaustedd *yawn* *ywan* LMAO!,No
Q: the girl on your background bottom right hand corner looks like anna maria perez de tagle.<br>A: :) Aww!! Yeahh she is my best friend * raphaela * Haha. She is german so i guess thts why! lmao <3,No
Q: tht woul b so cool if u were here so i can me u!!!!!!<br>A: Ikrr that wud be awesome!!! I wish ;D,No
Q: wat state do u live in?<br>A: Texas!!&amp;Yuh hun?! xox,No
Q: Well dats so tight ur friends wit @truace . How does it feel 2 kno him. Since ur his friend u wud kno does he hav a gf?<br>A: Ohhkayy! First offf i was playin  i mean he is a really nice person dnt kno him like all that! Bhut u should ask him!,No
Q: well u say any language.. so.. coba tebak ini bahasa apa.. kamu ngerti ngga aku ngomong apa? ;)<br>A: Huh!? That doesnt make sense  Guns something! lmao Come again!? lol,No
Q: What are you most excited about right now?<br>A: Ummm SUMMER bein almost here! Who isnt? haha,No
Q: What did you dream about last night?<br>A: Shh....Dnt tell any1 k? haha! NOTHING! MWAH!,No
Q: what do u guys prefer? Jonas brothers or justin bieber<br>A: Ahhh! I love em both but I would go for Justin Bieber!!! Well because i'm older. But I perfer them BOTH!,No
Q: What do you think about formspring.me so far?<br>A: Its da shit! Fun stuff,No
Q: What do you think is your most attractive feature?<br>A: My eyes! They are light brown and beautidul in the sun!(; Thanks God! oh and my hands! and ass lol jkjK!,No
Q: What do you think was the greatest invention in your lifetime?<br>A: Thee comp? or cellfonne! hehe,No
Q: What kind of glasses do you have?<br>A: Guess! haha no its the brand name.,No
Q: What kind of music can you just not stand to listen to?<br>A: I cannot listen to that Heavy metal! I like me some rock(oldies) bhut not that scary shit ;D,No
Q: What music are you listening to today?<br>A: Everything really! AHhaha Lovin my HipHop atm! Ester Dean is thee shyyttt!,No
Q: What one thing are you exceptionally good at?<br>A: Urgh . . this is difficult to answer haha! Umm prob. fixing computers! ha yes i said it im like a WIZ at fixin comps that MYSELF and MOM destroy! AHAHA!,No
Q: What TV show do you wish would go off the air for good?<br>A: The Hills! Chuz Lauren was thee whole point it was clld thee Hills and there is 2much drama! Bhut I still wtch it chuz i love 2 laugh at thee dumb shit! Spencer is a prick btw!;0,No
Q: What was the best concert you went to?<br>A: Jonas Brothers Concert 8/13/09 ;D I still love em bhut Justin bieber is thee shit!,No
Q: What was the happiest moment in your life?<br>A: I have many! 2many actually bhut i guess when i found my lifetime friends ;D,No
Q: What was the last book you read?<br>A: The Miracle Worker,No
Q: What was the worst advice you&#039;ve ever received?<br>A: This person actually told me this &quot;fried&quot; i had was not a true friend and she wants me 2 still be this person's friend! Thats a NONO!,No
Q: What was the worst concert you went to?<br>A: Never been 2 1 tht was bad.,No
Q: What was the worst job you&#039;ve ever had?<br>A: I can't complain chuz i dnt have or had one! hahaha soon though! real soon! ;,No
Q: What was the worst place you&#039;ve traveled to?<br>A: Georgia Columbus. 2 b exact. I Dislike it. BORING!! Hotlanta is where its AT! ;*,No
Q: What was your favorite birthday gift?<br>A: Life(: haha!! umm idk thats hard!,No
Q: What was your favorite toy to play with as a child?<br>A: Now how the fuck am i suppose to remember that? Weirdo! maybe it was ur moms dick? lOL!,Yes
Q: What was your favorite year?<br>A: 1995 haha when i was bornwas my year! Doh!I didnt have 2 do ANYTHING on my own haha,No
Q: What was your worst travel experience?<br>A: HA! goin to georgia just to see my dad's mother! Ugh i cnt stand her bhut God bless her soul! LONG LIFE STORY! haha,No
Q: What website do you spend the most time on?<br>A: Oh good 1  Twitter (ofcousre) i love me some twitter peeps! They tha shit lol,No
Q: What would be the best workplace perk?<br>A: Idk.. wait WHaaaa? lol,No
Q: What would your perfect day look like?<br>A: Me&amp;God eatin Chicken wings on His throne <3 ahaha,No
Q: What&#039;s one food you&#039;ll never eat again?<br>A: Brussel srouts! YuCkIE! bhut i love cabbage and they're mini cabbages! LMAO!,No
Q: What&#039;s one thing you own that you should probably throw away  but never will?<br>A: My old school shit   i wud SOOO throw it away bhut my mom! Urgh,No
Q: What&#039;s the best gift you&#039;ve ever given?<br>A: The important 1 is Love  bhut ive given people themselves! Like i let my friends have themselves instead of me! It helps to see who they are as a person! Very important! Viseversa.,No
Q: What&#039;s the best place near you to get a drink?<br>A: Hahaha! Wait wht kind of drink! LOL well JackInTheBox is like not evn a mile away frmh my house! So there! i guess thts wht ur askin lmao! XP,No
Q: What&#039;s the best place near you to get some ice cream?<br>A: Hmmm....U makin me hungry first of all! &amp;&amp; Dairy Queen! YUMM!!,No
Q: What&#039;s the best place near you to get some ice cream?<br>A: Umm...Diary Queen? or JackINTHEBOX! 4 my smoothies of course not ice cream! Mwah,No
Q: What&#039;s the furthest you&#039;ve ever traveled?<br>A: Virginia,No
Q: What&#039;s the longest you&#039;ve ever gone without a bath or shower?<br>A: Haha! Maybe 2days? lol idk,No
Q: What&#039;s the most delicious meal you&#039;ve ever had?<br>A: Wow. this is a hard 1 i dnt think ive had 1 or i have many! I love my smoothies tho! YUMMIE!,No
Q: What&#039;s the origin of your name?<br>A: Idk... its a month that 4 sure lol,No
Q: What&#039;s the weirdest thing you&#039;ve ever eaten?<br>A: A piece of grass?,No
Q: What&#039;s the weirdest thing you&#039;ve ever eaten?<br>A: I Havent Gotten 2 that part!! haha,No
Q: what&#039;s your best achievement?<br>A: Wow awesome question....I think my best achievement would be &quot;Finding who i am&quot; thats thee most important!!<33,No
Q: What&#039;s your biggest phobia?<br>A: ummmm...messy rooms;,No
Q: What&#039;s your dream car?<br>A: Something cute and ME!! haha you kno? well a beamer is my dream car basically! or a porshe!,No
Q: What&#039;s your earliest memory?<br>A: Haha! Staring at my doctor thru sunglasses while he was in my mouth! HAHAHA!!!,No
Q: what&#039;s your fave song?<br>A: My fav song girly!!! is umm.. Up &amp; Running by @jessicajarrell atm! But i have lots :) hbu!?,No
Q: What&#039;s your favorite drink?<br>A: Mmm... ROOT BEER! haha my fav drink eva! POW,No
Q: What&#039;s your favorite food?<br>A: Actually its cabbage!;D,No
Q: What&#039;s your favorite genre of music?<br>A: POP!,No
Q: What&#039;s your favorite movie quote?<br>A: Crap this is hard  haha umm &quot;People Need Inspiration&quot;- The Last Song <33,No
Q: What&#039;s your favorite season of the year?<br>A: Summer(:,No
Q: What&#039;s your favorite type of flower?<br>A: Pink Roses!(:,No
Q: what&#039;s your favourite colour?<br>A: Pink &amp; Neon green(:,No
Q: what&#039;s your favourite movie?<br>A: ;) Umm.. A walk to remember! or The Last song! Ugh theirs ALOT! haha hbu!,No
Q: What&#039;s yur fav color?<br>A: PINK&amp;NEON GREEN!Yeahh buddie,No
Q: whats ur fav tv showww? :D <3<br>A: Umm. . . good question i have many bhut i guess 16 and pregnant would be 1 of my fav ones atm. ;D,No
Q: when ever you go to google translate  DONT USE IT!!! trust me....<br>A: Hahaha wht are u tlkn bout girl!,No
Q: When was the last time you gave flowers?<br>A: Never;;,No
Q: When you were a kid  what did you want to be when you grew up?<br>A: Actually i was that kid who wanted to be by herself so i guess when i grow up im going to be ME lol! Hard question 2 answer.,No
Q: Where are ya From??=)<br>A: U.S.A!!!;] Known as Mars!!<3,No
Q: Where would you like to spend your retirement?<br>A: Haha...when i turn 60 ish ask me this! lol,No
Q: where would you most like to live?<br>A: Los Angeles! <33,No
Q: where&#039;s your ideal holiday destination?<br>A: Umm... Dallas Texas! haha Idk im so plain so idk! Mwhaha,No
Q: Who and when was your first kiss?<br>A: Umm.. Long time ago bhut i was like 5 or 6 haha Cory!,No
Q: who are your top three celebrity crushes?<br>A: Yumm... Justin Bieber P-diddys son JDoir YUMMM....haha not really a celeb bhut yeah! &amp;&amp; Channing Fckn TATUM!!haha Oh damn!!,No
Q: Who are your Twitter besties?<br>A: Ohh mann this is a GREAT ? Chrissy Michelle Savannah AJ Bianca and lotss more + you!<33,No
Q: who decided to take a shit on your face?<br>A: im not quite sure! ill tell ya when i find out! I promise(:,Yes
Q: Who do you think should be the next president of the United States?<br>A: Umm... Barack Obama 4 another 4 years! iLovehim!,No
Q: Who was the best teacher you&#039;ve ever had?<br>A: Mmmh... My second grade teach Mrs. Caldwell <3,No
Q: Who&#039;s the funniest person you know?<br>A: Prob. me or my seester (robbie) hahaha makes me wanna shit myself EVERYTIME she speaks lol,No
Q: Who&#039;s the most famous person you&#039;ve met?<br>A: Urgh no1 yet! Keep hopin though!,No
Q: Who&#039;s the most overrated athlete?<br>A: Michael Jackson! haha wait wrong one  Michael Jordon i meant ahah,No
Q: who&#039;s the prettiest person you know?<br>A: idkk... mwauuuhhh!(:,No
Q: Who&#039;s the sexiest woman alive?<br>A: I do not judge gyrls im not bi or a lezzboo!! K thanks',No
Q: Who&#039;s the smartest person you know?<br>A: @JustinBSource 4 sure LMAO!,No
Q: Why do u follow the bandwagon? Formspring. Twitter. What&#039;s next gay Justin beiber.<br>A: Well im not following anything and really BANDWAGON?!?! soo oldd!! Its more like trend these days! Justin Bieber* Idiot! Cnt spell!,Yes
Q: Why do u like lil kids like Justin Beiber?<br>A: Umm... he has a bigga heart than you will EVER have so before you start to hate on a 16yr old that you obviously are addicted to  get your facts straight kay?,No
Q: Why do u like that beiber kid so much. He&#039;s lame and can&#039;t sing.<br>A: Umm.. u kno wht WTF ever! STOP HATIN!,No
Q: -woaahhhhhh! Likee dude i&#039;m in youhr backround!!! :D AWESOMEEEE! <3 ilybbyy(:<br>A: - Marryyyyy!!!!??/ LOL! itss yuhh boo!!! Hahaha Noo durr suckkaaa!!! Nahhh i loveee yuhhhh mooOee!!!,No
Q: would u ever go bungee jumping like justin did?<br>A: Hahaha i think i would! I always do thee same shizz all thee tyme so yes i would hbu ?! ;D,No
Q: Would you rather be a famous musician or a famous actor?<br>A: Not a guy! haha maybe a cheerleader haha jkjk!,No
Q: Would you rather be a vampire or a werewolf?<br>A: Werewolf -AkA-  Jacob's Pride lol! His good part! lol,No
Q: Would you rather be a zombie or a mummy?<br>A: Zombie 4sho!,No
Q: Would you rather be rich or famous?<br>A: Famous(: Bhut im ME 4 rite now!,No
Q: Would you rather date a lot of different people  or be in a committed relationship?<br>A: Both? LOL! jk,No
Q: Would you rather get up early or sleep late?<br>A: SLEEP LATE!!Duh!,No
Q: Would you rather own a luxury yacht or a private jet?<br>A: JET!!(: Hate boats! Worst experience ever was on a boat! Never again!,No
Q: Would you rather swim in a pool or the ocean?<br>A: Pool,No
Q: Would you rather work at a large company or a small one?<br>A: None! haha,No
Q: yea it&#039;s different from warm cali  but&#039;s cool :D weeeell gtg now :| gonna meet some friends i a few minutes lol.bye :] xx<br>A: Ohh man i bet its tha shit!! Ohhkayy!(: be safe have fun!! <33,No
Q: yeh you r right... how should the 1 be?? i have no bf too!:)<br>A: Yehh hahaha...idk.its weird..Boys r Boys So Im Me!!!alone hahah,No
Q: Yooooo mate   RinnaLovesJB here. heyhey  ask me anything ! (:<br>A: Hahaha(: ight,No
Q: you need or should delete that 911 tweet. Not funny at all! you know how many people died that day including my father and brother<br>A: Umm...im truly sorry! bhut i didnt mean it in ANYWAY like u obviously got offended by!and i said it wasnt funny! So before you get all angry nd shit ill delete that tweet! Kthanks btw RIP ur daddy and brother,No
Q: your attitude is so fun :)<br>A: Thank yuh soo muchh!!!;D Im likin yurs 2 Mwah!,No
Q: :D nada<br>A: ummm... what? u didnt know jose was my first kiss?,No
Q: :O lol no freaking way! btw  i didnt ask that :D<br>A: no freaking way what???,No
Q: ahhh true.. true... plus it plays music XD<br>A: Exactly!!!!!(:,No
Q: If you had to give up one favorite food  what would the most difficult?<br>A: Ahh.. Probably Cookies! D:,No
Q: Pshhh liar ^^<br>A: haha im not a liar(:,No
Q: What did you eat for breakfast today?<br>A: Cereal!,No
Q: What do you think is your most attractive feature?<br>A: Ewwiee! Nothing haha(:,No
Q: what is one thing you can&#039;t live without?? :] its me right?<br>A: Hahaha of c,No
Q: What is your biggest accomplishment?<br>A: Ummm probably playing softball for 10 years(:,No
Q: What was your favorite birthday gift?<br>A: a neckalce given to me by my love(: <3333,No
Q: What&#039;s the best place near you to get a drink?<br>A: Starbuckks!!!!(:,No
Q: What&#039;s your favourite part to watch in Rent?<br>A: hmmmm. think the part where te guy at support sings tht part makes me tear up=/ La ve boheme is a good one two,No
Q: Where&#039;d you find out about formspring.me?<br>A: Umm Bunch of people just joined  and i got bored  so i wanted too!,No
Q: who was ur first kiss<br>A: umm.. haha i dont know why you want to kn,No
Q: Why u so perfect!? ;)<br>A: hahaha!!! im the farthest from,No
Q: Are you wearing the p<br>A: I'm not wearing,No
Q: Do you have a boyfriend?<br>A: yess (:,No
Q: can you come to my party tonightt ??<br>A: who iss thiiis ???,No
Q: damn. i hate shiiiit talkers on formspringgg. i thought it was just a random question site thing<br>A: ahaha thankss kidd ndd yeah i knoo reallyy huh...theeree soo stupidd there to scaredd to sayy anythingg too myy face,No
Q: i heart<3 youu.<br>A: ahahah ii loveeee yuuuu moreee(:,No
Q: i lovee joiee<3<br>A: ii lovee yuuu moree:P,No
Q: i wub you Joie(:<br>A: (: ahaha hii ceara..,No
Q: is jon the person u like?<br>A: noo itss nottt,No
